,game_date,season_type,,
0,2016-10-01,pre,,pre
4,2016-10-02,pre,,regular
5,2016-10-03,pre,,playoff
16,2016-10-04,pre,,playintour
27,2016-10-05,pre,,
34,2016-10-06,pre,,
45,2016-10-07,pre,,
49,2016-10-08,pre,,
62,2016-10-09,pre,,
66,2016-10-10,pre,,
77,2016-10-11,pre,,
84,2016-10-12,pre,,
94,2016-10-13,pre,,
108,2016-10-14,pre,,
118,2016-10-15,pre,,
131,2016-10-16,pre,,
137,2016-10-17,pre,,
145,2016-10-18,pre,,
154,2016-10-19,pre,,
168,2016-10-20,pre,,
175,2016-10-21,pre,,
188,2016-10-25,regular,,
194,2016-10-26,regular,,
213,2016-10-27,regular,,
221,2016-10-28,regular,,
236,2016-10-29,regular,,
254,2016-10-30,regular,,
267,2016-10-31,regular,,
275,2016-11-01,regular,,
292,2016-11-02,regular,,
312,2016-11-03,regular,,
322,2016-11-04,regular,,
339,2016-11-05,regular,,
353,2016-11-06,regular,,
365,2016-11-07,regular,,
378,2016-11-08,regular,,
390,2016-11-09,regular,,
412,2016-11-10,regular,,
419,2016-11-11,regular,,
435,2016-11-12,regular,,
456,2016-11-13,regular,,
466,2016-11-14,regular,,
481,2016-11-15,regular,,
490,2016-11-16,regular,,
512,2016-11-17,regular,,
521,2016-11-18,regular,,
541,2016-11-19,regular,,
558,2016-11-20,regular,,
570,2016-11-21,regular,,
587,2016-11-22,regular,,
595,2016-11-23,regular,,
619,2016-11-25,regular,,
648,2016-11-26,regular,,
657,2016-11-27,regular,,
673,2016-11-28,regular,,
686,2016-11-29,regular,,
698,2016-11-30,regular,,
715,2016-12-01,regular,,
726,2016-12-02,regular,,
744,2016-12-03,regular,,
761,2016-12-04,regular,,
769,2016-12-05,regular,,
791,2016-12-06,regular,,
802,2016-12-07,regular,,
821,2016-12-08,regular,,
833,2016-12-09,regular,,
850,2016-12-10,regular,,
869,2016-12-11,regular,,
879,2016-12-12,regular,,
892,2016-12-13,regular,,
904,2016-12-14,regular,,
922,2016-12-15,regular,,
931,2016-12-16,regular,,
950,2016-12-17,regular,,
964,2016-12-18,regular,,
977,2016-12-19,regular,,
987,2016-12-20,regular,,
1008,2016-12-21,regular,,
1024,2016-12-22,regular,,
1033,2016-12-23,regular,,
1060,2016-12-25,regular,,
1070,2016-12-26,regular,,
1092,2016-12-27,regular,,
1099,2016-12-28,regular,,
1119,2016-12-29,regular,,
1131,2016-12-30,regular,,
1151,2016-12-31,regular,,
1163,2017-01-01,regular,,
1173,2017-01-02,regular,,
1189,2017-01-03,regular,,
1205,2017-01-04,regular,,
1218,2017-01-05,regular,,
1234,2017-01-06,regular,,
1250,2017-01-07,regular,,
1263,2017-01-08,regular,,
1281,2017-01-09,regular,,
1287,2017-01-10,regular,,
