stadium,capacity,location
Barclays Center,19000,Brooklyn
American Airlines Center,20000,Dallas
Ball Arena,20000,Denver
Little Caesars Arena,"20,491",Detroit
Rocket Mortgage FieldHouse,19432,Cleveland
Chase Center,"18,064 ",Golden State
State Farm Arena,21000,Atlanta
TD Garden,19580,Boston
Spectrum Center,20200,Charlotte
United Center,23500,Chicago
Toyota Center,18300,Houston
Gainbridge Fieldhouse ,20000,Indiana
Crypto.com Arena,20000,Los Angeles
Crypto.com Arena,20000,Los Angeles
FedExForum,18119,Memphis
FTX Arena,21000,Miami
Fiserv Forum,17341,Milwaukee
Target Center,19356,Minnesota
Smoothie King Center,17791,New Orleans
Madison Square Garden,20789,New York
Paycom Center,18203,Oklahoma City
Amway Center,20000,Orlando
Wells Fargo Center,19500,Philadelphia
Footprint Center,18422,Phoenix
Moda Center,19980,Portland
Vivint Arena,18300,Utah
Golden 1 Center,17608,Sacramento
AT&T Center,18581,San Antonio
Scotiabank Arena,19800,Toronto
Capital One Arena,20356,Washington
