team_id,game_date,vsteam_id,outcome,total_points,total_rebounds,total_assists,total_blocks,total_steals,total_turnovers
DAL ,2016-10-01, NOP,L,102,36,23,5,9,9
GSW ,2016-10-01, TOR,L,93,42,19,7,15,21
NOP ,2016-10-01, DAL,W,116,44,29,6,3,16
TOR ,2016-10-01, GSW,W,97,58,14,7,14,23
HOU ,2016-10-02, SDS,W,131,52,34,7,12,9
CHA ,2016-10-03, DAL,L,88,48,14,2,3,13
CHI ,2016-10-03, MIL,L,91,48,22,7,9,22
DAL ,2016-10-03, CHA,W,95,49,21,3,7,12
DEN ,2016-10-03, TOR,W,108,45,24,7,6,16
MEM ,2016-10-03, ORL,W,102,38,19,1,11,13
MIL ,2016-10-03, CHI,W,93,45,20,6,12,16
OKC ,2016-10-03, RMD,L,137,36,22,2,13,15
ORL ,2016-10-03, MEM,L,97,37,19,0,6,23
PHX ,2016-10-03, SAS,W,91,48,16,10,13,28
SAS ,2016-10-03, PHX,L,86,41,17,8,15,30
TOR ,2016-10-03, DEN,L,106,43,15,5,10,11
BOS ,2016-10-04, PHI,L,89,43,23,4,11,16
GSW ,2016-10-04, LAC,W,120,47,29,6,12,18
HOU ,2016-10-04, NYK,W,130,51,27,6,8,22
IND ,2016-10-04, NOP,W,113,59,25,3,8,11
LAC ,2016-10-04, GSW,L,75,35,17,1,9,21
LAL ,2016-10-04, SAC,W,103,52,19,7,10,20
NOP ,2016-10-04, IND,L,96,44,24,4,5,13
NYK ,2016-10-04, HOU,L,103,34,23,5,9,13
PHI ,2016-10-04, BOS,W,92,47,23,5,10,22
SAC ,2016-10-04, LAL,L,84,38,16,3,9,18
WAS ,2016-10-04, MIA,L,95,40,21,0,7,10
CLE ,2016-10-05, ORL,W,117,42,30,4,10,13
LAC ,2016-10-05, TOR,W,104,46,28,4,9,26
OKC ,2016-10-05, FCB,W,92,35,17,5,11,25
ORL ,2016-10-05, CLE,L,102,37,23,3,8,17
PHX ,2016-10-05, UTA,L,99,47,16,7,9,17
TOR ,2016-10-05, LAC,L,98,32,13,5,19,15
UTA ,2016-10-05, PHX,W,104,44,19,10,9,22
ATL ,2016-10-06, MEM,W,104,53,28,4,7,14
BKN ,2016-10-06, DET,W,101,37,21,1,10,15
BOS ,2016-10-06, CHA,W,107,49,21,3,9,14
CHA ,2016-10-06, BOS,L,92,41,24,3,5,15
DET ,2016-10-06, BKN,L,94,52,21,3,7,23
GSW ,2016-10-06, SAC,W,105,45,22,6,12,23
IND ,2016-10-06, CHI,W,115,55,26,4,9,20
