team_id,f_name,l_name,stadium
BKN,Brooklyn,Nets,Barclays Center
DAL,Dallas,Mavericks,American Airlines Center
DEN,Denver,Nuggets,Ball Arena
DET,Detroit,Pistons,Little Caesars Arena
CLE,Cleveland,Cavaliers,Rocket Mortgage FieldHouse
GSW,Golden State,Warriors,Chase Center
ATL,Atlanta,Hawks,State Farm Arena
BOS,Boston,Celtics,TD Garden
CHA,Charlotte,Hornets,Spectrum Center
CHI,Chicago,Bulls,United Center
HOU,Houston,Rockets,Toyota Center
IND,Indiana,Pacers,Gainbridge Fieldhouse 
LAC,LA,Clippers,Crypto.com Arena
LAL,Los Angeles,Lakers,Crypto.com Arena
MEM,Memphis,Grizzlies,FedExForum
MIA,Miami,Heat,FTX Arena
MIL,Milwaukee,Bucks,Fiserv Forum
MIN,Minnesota,Timberwolves,Target Center
NOP,New Orleans,Pelicans,Smoothie King Center
NYK,New York,Knicks,Madison Square Garden
OKC,Oklahoma City,Thunder,Paycom Center
ORL,Orlando,Magic,Amway Center
PHI,Philadelphia,76ers,Wells Fargo Center
PHO,Phoenix,Suns,Footprint Center
POR,Portland,Trail Blazers,Moda Center
UTA,Utah,Jazz,Vivint Arena
SAC,Sacramento,Kings,Golden 1 Center
SAS,San Antonio,Spurs,AT&T Center
TOR,Toronto,Raptors,Scotiabank Arena
WAS,Washington,Wizards,Capital One Arena
