team_id,16_17,17_18,18_19,19_20,20_21
BKN,20,28,42,35,48
DAL,33,24,33,43,42
DEN,40,46,54,46,47
DET,37,39,41,20,20
CLE,51,50,19,19,22
GSW,67,58,57,15,39
ATL,43,24,29,20,41
BOS,53,55,49,48,36
CHA,36,36,39,23,33
CHI,41,27,22,22,31
HOU,55,65,53,44,17
IND,42,48,48,45,34
LAC,51,42,48,49,47
LAL,26,35,37,52,42
MEM,43,22,33,34,38
MIA,41,44,39,44,40
MIL,42,44,60,56,46
MIN,31,47,36,19,23
NOP,34,48,33,30,31
NYK,31,29,17,21,41
OKC,47,48,49,44,22
ORL,29,25,42,33,21
PHI,28,52,51,43,49
PHO,24,21,19,34,51
POR,41,49,53,35,42
UTA,51,48,50,44,52
SAC,32,27,39,31,31
SAS,61,47,48,32,33
TOR,51,59,58,53,27
WAS,49,43,32,25,34
total_game,82,82,82,,72
